id	taxon_name	rank	g1_mean	Run4_P1	Run4_P2	Run4_P3	Run4_P4	Run5_P1	Run5_P2	Run5_P3	Run5_P4	Run4_P1_n_peptide	Run4_P2_n_peptide	Run4_P3_n_peptide	Run4_P4_n_peptide	Run5_P1_n_peptide	Run5_P2_n_peptide	Run5_P3_n_peptide	Run5_P4_n_peptide	Run4_P1_n_samp_children	Run4_P2_n_samp_children	Run4_P3_n_samp_children	Run4_P4_n_samp_children	Run5_P1_n_samp_children	Run5_P2_n_samp_children	Run5_P3_n_samp_children	Run5_P4_n_samp_children
219572	Pseudomonas antarctica	species	18.80777073499324	17.675934947317252	19.6611503460877	17.94849747460909	18.878857638035093	18.383653452274924	19.562353914331762	18.426152654223266	18.71109301089002	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	NA	NA	NA	NA	NA	NA	NA	NA
231454	Dyella	genus	18.53741544826552	18.393453206126967	16.63629173234197	17.345870635075126	18.157250468103353	18.753442446022376	18.854488259659504	19.49161447779412	18.889289322579998	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
238783	Pseudorhodobacter	genus	20.66928806816826	21.861468393621465	20.952368323508118	20.55917514637224	20.440772939719757	20.797919633528874	19.784543485926452	19.648344464456663	19.909467738873648	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	NA	NA	NA	NA	NA	NA	NA	NA
244366	Klebsiella variicola	species	19.938403630210026	20.544759168708072	20.661457513971676	20.845915388850845	20.01793215156477	18.10733325434445	18.85566450607903	19.228988859073496	19.021605068658065	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
245186	Loktanella	genus	21.1545507968702	21.84350627121003	21.371772912324694	21.27271471361329	21.04236267472257	21.176148606436705	20.744311166071977	20.697385568234456	20.678327471230247	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
255475	Aurantimonadaceae	family	16.481782685597917	16.028820317363945	16.962421706930684	16.705700949362075	16.71446313551097	16.315992014450394	16.03147220833151	16.533921599720586	16.28261645766979	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
263377	Salipiger	genus	21.188160770388375	21.377183012704577	21.193877911640797	21.21951632547304	21.446374735665394	21.17730437811218	21.237198312732392	21.164999010808437	20.514509527026867	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
267890	Shewanellaceae	family	18.660126087396282	NA	NA	NA	18.940204810104607	18.62248431646528	18.635339763181584	NA	18.388745898455014	NA	NA	NA	1.0	1.0	1.0	NA	1.0	NA	NA	NA	1.0	1.0	1.0	NA	1.0
278132	Limimaricola hongkongensis	species	18.008093945200315	NA	16.07223157229953	18.171128913394668	NA	18.4106316218565	17.79326435683152	18.07068853350524	18.484396704216408	NA	1.0	1.0	NA	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
282198	Nereida	genus	21.099877342651578	21.48499392947655	21.766842682952205	21.456684784105313	21.163539486529544	20.279949505808382	20.737465742113535	20.131811735851663	20.987521450125563	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
282199	Nereida ignava	species	21.099877342651578	21.48499392947655	21.766842682952205	21.456684784105313	21.163539486529544	20.279949505808382	20.737465742113535	20.131811735851663	20.987521450125563	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	NA	NA	NA	NA	NA	NA	NA	NA
293088	Martelella	genus	16.481782685597917	16.028820317363945	16.962421706930684	16.705700949362075	16.71446313551097	16.315992014450394	16.03147220833151	16.533921599720586	16.28261645766979	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
302485	Phaeobacter	genus	22.513292165498992	22.941763213169374	22.917699975574006	22.45023651506218	22.647938952510696	21.302247596936333	22.41985821917197	22.104705362873094	22.718664096006364	6.0	5.0	6.0	5.0	5.0	6.0	6.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
308354	Staphylococcus simiae	species	21.249262853575367	21.807871427548456	21.801595691051922	22.065896202293857	21.1086114695631	19.773803907693278	20.32864634684939	20.820225081846022	20.856438624597182	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	NA	NA	NA	NA	NA	NA	NA	NA
309512	Dinoroseobacter	genus	19.128910342055025	20.663463337791264	16.608127849929254	NA	17.821633318841894	19.20273938345264	19.028711613701667	17.553005903459226	19.396552198191582	1.0	1.0	NA	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	1.0	1.0	1.0	1.0	1.0
311411	Pseudoruegeria	genus	18.267126510107854	18.476141556128276	18.752678376760798	18.75778145653526	18.536156832070578	18.001123205592055	17.554809453593464	17.759601610488243	17.728680501951708	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
314263	Roseovarius nubinhibens	species	18.485922226369222	18.430617982047558	18.89152070733366	18.414656884633068	18.526721968250488	18.548107282784414	18.09616328444977	NA	18.373729022052316	1.0	1.0	1.0	1.0	1.0	1.0	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA
321267	Shimia marina	species	20.377987621298786	19.95354949712826	19.277264314428052	19.48755949521415	20.21178984082763	20.747688529771022	20.930700467545673	20.372934097770013	21.05832688420235	3.0	3.0	3.0	3.0	2.0	2.0	3.0	3.0	NA	NA	NA	NA	NA	NA	NA	NA
335927	Thalassobius	genus	22.451105837674724	22.563683849918306	22.517473820493066	22.77047057812141	22.278177799414657	22.578712500030647	22.217043169313143	22.330727444203156	22.257271904051073	5.0	4.0	5.0	5.0	5.0	4.0	5.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
335975	Sulfitobacter litoralis	species	18.51344820172558	17.57223307758436	17.476073871746433	17.117784412141226	18.11503769020407	19.411266731884776	19.01228193067472	18.75973192919834	18.989325904853686	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
340021	Thalassobius mediterraneus	species	20.667426606731713	20.872184205286512	20.544759168708072	20.203564461782776	20.788334468220185	21.005804308991944	20.655917376539104	20.241009278226162	20.82584411539231	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
359110	Pseudomonas extremaustralis	species	19.90169654648001	20.205100634586472	19.705346612105103	20.25567969679654	20.03864268233448	20.009776541382674	19.560665753322862	19.592676386836462	19.651997912639974	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
364197	Pseudomonas pohangensis	species	19.50533382458092	20.0242232556476	19.424257432787343	19.694875245625525	19.458331810307875	19.812820384262487	18.95705382477267	19.117746759422474	19.232439685942264	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
366289	Pseudomonas delhiensis	species	20.292145327736506	20.822737108118464	20.683667859375802	20.756902898135824	20.568001189178712	19.485446551636908	19.6834108292182	19.66213491293881	19.932343959596178	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	NA	NA	NA	NA	NA	NA	NA	NA
373675	Thalassococcus halodurans	species	21.307876763753228	22.561108360873117	21.672805652300763	21.59019058602828	21.042342050034467	21.187871416926463	20.221993433687494	19.870093165108237	20.364399198122296	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	NA	NA	NA	NA	NA	NA	NA	NA
390807	Jannaschia pohangensis	species	16.932968220623014	16.479083650700673	17.189229775951485	16.902740334468085	16.76712043979377	NA	16.762967261167987	17.008548739025862	17.26896437420147	1.0	1.0	1.0	1.0	NA	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
393277	Donghicola	genus	23.82853898002005	NA	NA	23.82853898002005	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA
404235	Maritimibacter	genus	22.085582622657896	22.61425317726468	22.468966638960396	22.413451888066025	22.183861669464836	21.839108822372605	21.573581543349828	21.506272216342126	21.599299655905536	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
404236	Maritimibacter alkaliphilus	species	22.085582622657896	22.61425317726468	22.468966638960396	22.413451888066025	22.183861669464836	21.839108822372605	21.573581543349828	21.506272216342126	21.599299655905536	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	NA	NA	NA	NA	NA	NA	NA	NA
428992	Pseudomonas panipatensis	species	21.12530545760914	20.23845240707669	19.94606663925985	20.27767508121269	20.57826906164438	21.519707000117112	21.644029507297127	22.055266349629047	21.295477185090235	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	NA	NA	NA	NA	NA	NA	NA	NA
436357	Thalassococcus	genus	21.307876763753228	22.561108360873117	21.672805652300763	21.59019058602828	21.042342050034467	21.187871416926463	20.221993433687494	19.870093165108237	20.364399198122296	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
441119	Tranquillimonas alkanivorans	species	18.037102881249584	18.361000220993105	18.28536026612763	18.736595507588376	18.11915830208987	17.82922573191543	17.40767025316631	17.49824435276313	17.47540904874615	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
478070	Labrenzia	genus	19.815394165708803	19.706474936799694	19.888915527146324	19.98892501280422	20.132438581751817	19.90907973258982	19.232439685942264	19.61408835622464	19.875294214240657	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
488547	Jhaorihella thermophila	species	20.347527189887625	19.549890979514178	21.29157471496796	18.128846871106774	20.70929371692665	20.090514213672343	20.80484911121324	19.823336630071452	20.47950636607214	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	NA	NA	NA	NA	NA	NA	NA	NA
490828	Lutimaribacter	genus	21.442793336495775	21.753422603481326	21.801842552894627	21.67184524938972	21.730904879191847	21.049773251239923	20.867791869043042	20.857879498108733	21.420340317540973	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
490829	Lutimaribacter saemankumensis	species	19.869657748124613	19.730534512371783	20.367536406915793	19.713387604949855	20.34141076153929	19.147495677972728	19.519302963843373	18.97940172416828	20.421109911693886	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	NA	NA	NA	NA	NA	NA	NA	NA
497726	Nitrososphaera	genus	30.584620133098298	30.361679889302717	30.851229819495806	30.602293329194044	30.655277384877564	30.317944359731257	30.74247908731309	30.482342845265848	30.58355256617778	994.0	1036.0	1024.0	1015.0	1003.0	1030.0	1036.0	1028.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
505353	Roseovarius halotolerans	species	20.634681246399715	NA	19.732531078851732	20.469369626187817	NA	20.89900692551505	20.835250981248898	20.98540378488541	20.557259302087562	NA	1.0	1.0	NA	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
521013	Limimaricola pyoseonensis	species	21.439953981808582	21.56204697454157	21.468540854835105	21.47133644638992	21.972677027324934	21.229132925986203	21.333984120446047	21.054910590371893	21.229132925986203	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
540747	Roseovarius indicus	species	21.688880150087755	22.297257722145797	22.63156450517093	22.440915037055973	22.035209756922303	20.555323958115647	20.052184005758853	20.285270375758465	20.512633014641885	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	NA	NA	NA	NA	NA	NA	NA	NA
543360	Pseudomonas cuatrocienegasensis	species	18.28431598922125	18.136608822391096	18.56337784749266	18.446616814793042	17.593428485162796	16.060257791367036	18.7799641106062	19.3524512392059	17.048673834804735	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
555512	Salipiger marinus	species	21.188160770388375	21.377183012704577	21.193877911640797	21.21951632547304	21.446374735665394	21.17730437811218	21.237198312732392	21.164999010808437	20.514509527026867	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	NA	NA	NA	NA	NA	NA	NA	NA
569882	Salinihabitans flavidus	species	21.18855298794693	21.784456764843753	21.47495951480522	21.09603727891871	21.314078124803956	21.399948012922728	20.56207435589191	20.70691503069256	20.711542251815274	3.0	2.0	2.0	3.0	3.0	2.0	3.0	2.0	NA	NA	NA	NA	NA	NA	NA	NA
571298	Pseudoruegeria lutimaris	species	18.267126510107854	18.476141556128276	18.752678376760798	18.75778145653526	18.536156832070578	18.001123205592055	17.554809453593464	17.759601610488243	17.728680501951708	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
573139	Shimia	genus	22.677818640013488	23.419529394625243	23.172453681621533	22.9484634733154	22.713701183996	22.28013087068418	22.24539410412878	21.31725227364912	22.351969825051846	6.0	6.0	6.0	6.0	4.0	5.0	5.0	6.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0
574962	Pseudomonas taeanensis	species	18.043629549667497	17.927133645961174	18.303499964190387	18.43466228268527	18.2694438812053	17.286594555076594	17.7918677123715	18.13236131148364	17.898691708186455	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
651137	Thaumarchaeota	phylum	30.649542476830963	30.420812589949026	30.910318325734682	30.660739289678624	30.71264628121867	30.393588423542855	30.8128972951276	30.558567237599647	30.64922479034333	1070.0	1114.0	1099.0	1094.0	1080.0	1108.0	1116.0	1103.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
653686	Wenxinia	genus	19.607496672517918	20.616794035673003	20.067701113161565	19.695948709455855	19.515982199710734	NA	18.962993852275137	18.34747671937653	18.75106141372482	1.0	1.0	1.0	1.0	NA	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	1.0	1.0	1.0
659018	Stenotrophomonas daejeonensis	species	18.78952846229585	18.01757664087116	17.545447778057238	17.783088244572724	18.428078083131417	18.849513907140906	20.474902325530355	18.296472478872147	18.368385823201567	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
659428	Marivita	genus	21.0949391242302	21.250116741076422	20.30874795217569	20.639052136269825	21.050805180937765	21.57678683472517	20.744127402308454	21.215684504140228	21.516810637092604	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
696762	Planktotalea frisia	species	20.079118415310717	20.155373289555214	20.10978105585342	20.417274042672073	19.338433852537037	20.106216958164463	20.01751097944833	20.15620672208622	20.121206273277366	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	NA	NA	NA	NA	NA	NA	NA	NA
871651	Poseidonocella pacifica	species	20.36739987805681	20.101164779344526	19.386894327726836	19.846438240521117	20.71938674843511	21.03850938135657	20.214166651753462	20.15707882060213	20.781656832000102	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	NA	NA	NA	NA	NA	NA	NA	NA
875170	Celeribacter	genus	19.565658423422974	20.163404108134316	19.6730715947911	20.08225852823306	19.865665555993257	19.28478049418834	19.00481107259315	18.625114836847864	19.10289348571195	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
928856	Epibacterium multivorans	species	18.676149062507264	17.850515361057564	16.920715248159404	17.51864610443422	18.396416442661522	19.501767019089517	18.862286878970323	19.29938977224387	19.179203519733644	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
990712	Albidovulum xiamenense	species	18.51898861330129	NA	15.133551603691636	16.25042411688086	NA	NA	NA	19.950221273607795	NA	NA	1.0	1.0	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA
999627	Sedimentitalea nanhaiensis	species	20.39281037838284	18.020885080015553	19.432509981130384	20.059983598680056	17.681936210259135	19.13317776649501	21.466677506853003	21.439024586473387	21.207010788192335	2.0	2.0	3.0	1.0	1.0	3.0	3.0	3.0	NA	NA	NA	NA	NA	NA	NA	NA
1028423	Ceratocystidaceae	family	18.02624095272216	NA	18.426736664960824	NA	NA	18.626926788334657	18.588980169027558	16.032424476128508	16.826841383289715	NA	1.0	NA	NA	1.0	1.0	1.0	1.0	NA	1.0	NA	NA	1.0	1.0	1.0	1.0
1033996	Nitrososphaerales	order	30.61833701681374	30.392923570276686	30.88137148390673	30.6306886828724	30.68521482460404	30.358637058850498	30.780254316968573	30.52194103221642	30.617186861950326	1025.0	1067.0	1053.0	1049.0	1034.0	1061.0	1068.0	1059.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1033997	Nitrososphaeraceae	family	30.61833701681374	30.392923570276686	30.88137148390673	30.6306886828724	30.68521482460404	30.358637058850498	30.780254316968573	30.52194103221642	30.617186861950326	1025.0	1067.0	1053.0	1049.0	1034.0	1061.0	1068.0	1059.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1034015	Nitrososphaera viennensis	species	30.085083199264457	29.883281215270703	30.38929067419572	30.1409076062055	30.20005723984577	29.781951168062594	30.207420987317846	29.92737424777482	30.052918366492985	492.0	515.0	514.0	510.0	502.0	521.0	526.0	517.0	NA	NA	NA	NA	NA	NA	NA	NA
1086013	Gemmobacter megaterium	species	20.283626981276417	NA	20.78042822777491	NA	19.519767047873238	NA	NA	NA	NA	NA	1.0	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
